Time,GPU1 Load,GPU2 Load,GPU3 Load,GPU4 Load,Total Memory Change
0.0379490852355957,0.0,27.0,0.0,0.0,5364.0
1.0787153244018555,0.0,0.0,32.0,0.0,9097.0
2.1211044788360596,0.0,0.0,0.0,19.0,11978.0
3.1617672443389893,0.0,0.0,0.0,0.0,13066.0
4.199968099594116,0.0,14.000000000000002,2.0,0.0,13374.0
5.241425275802612,21.0,17.0,17.0,13.0,13636.0
6.280357599258423,24.0,20.0,18.0,13.0,13662.0
7.321753263473511,26.0,20.0,19.0,14.000000000000002,13686.0
8.364033460617065,28.000000000000004,20.0,20.0,15.0,13710.0
9.408382177352905,28.999999999999996,22.0,16.0,15.0,13796.0
10.449145793914795,24.0,18.0,19.0,14.000000000000002,13796.0
11.490429878234863,25.0,19.0,19.0,14.000000000000002,13796.0
12.533390998840332,26.0,17.0,19.0,15.0,13796.0
13.571814775466919,25.0,17.0,17.0,16.0,13796.0
14.61307954788208,31.0,22.0,20.0,16.0,13802.0
15.654027938842773,30.0,22.0,19.0,17.0,13804.0
16.694305896759033,32.0,20.0,21.0,18.0,13890.0
17.7369327545166,32.0,20.0,20.0,16.0,13926.0
18.778053283691406,33.0,21.0,21.0,16.0,13946.0
19.824808597564697,34.0,21.0,22.0,14.000000000000002,14122.0
20.867336988449097,33.0,21.0,18.0,16.0,14314.0
21.90743660926819,36.0,22.0,23.0,14.000000000000002,14314.0
22.947511434555054,32.0,23.0,19.0,13.0,14522.0
23.987531661987305,32.0,22.0,19.0,14.000000000000002,14746.0
25.027173042297363,34.0,20.0,20.0,17.0,14986.0
26.06885528564453,21.0,18.0,17.0,13.0,14988.0
27.108403205871582,25.0,20.0,19.0,13.0,14988.0
28.14863610267639,26.0,19.0,19.0,14.000000000000002,14988.0
29.185789346694946,26.0,17.0,19.0,15.0,14988.0
30.22135591506958,28.999999999999996,22.0,19.0,14.000000000000002,14988.0
31.25910210609436,31.0,22.0,21.0,14.000000000000002,14988.0
32.299237966537476,33.0,20.0,23.0,14.000000000000002,14988.0
33.34087681770325,33.0,20.0,23.0,15.0,14988.0
34.381192207336426,32.0,20.0,20.0,15.0,14988.0
35.42011785507202,31.0,18.0,21.0,16.0,14988.0
36.46124839782715,31.0,18.0,22.0,17.0,14988.0
37.50254225730896,22.0,19.0,17.0,13.0,14988.0
38.54243063926697,24.0,19.0,18.0,14.000000000000002,14988.0
39.584532499313354,26.0,19.0,19.0,14.000000000000002,14988.0
