Time,GPU1 Load,GPU2 Load,GPU3 Load,GPU4 Load,Total Memory Change
0.0373225212097168,0.0,0.0,0.0,0.0,12.0
1.074817419052124,0.0,0.0,0.0,0.0,12.0
2.1121175289154053,0.0,0.0,0.0,0.0,12.0
3.152686595916748,0.0,0.0,0.0,0.0,12.0
4.190101623535156,0.0,0.0,0.0,0.0,12.0
5.233900308609009,0.0,0.0,0.0,0.0,12.0
6.290331840515137,0.0,0.0,0.0,0.0,12.0
7.331822872161865,0.0,0.0,0.0,0.0,12.0
8.37084174156189,16.0,0.0,0.0,0.0,3768.0
9.410316228866577,0.0,20.0,25.0,0.0,7537.0
10.452662229537964,0.0,0.0,0.0,28.000000000000004,11198.0
11.493322372436523,13.0,0.0,0.0,0.0,13046.0
12.532161951065063,0.0,0.0,0.0,0.0,13382.0
13.57716679573059,21.0,10.0,17.0,13.0,13654.0
14.617425918579102,22.0,18.0,17.0,13.0,13678.0
15.657676458358765,26.0,19.0,19.0,14.000000000000002,13702.0
16.699870347976685,26.0,18.0,20.0,15.0,13726.0
17.740776538848877,31.0,20.0,22.0,16.0,13772.0
18.780787706375122,32.0,22.0,19.0,14.000000000000002,13778.0
19.818346977233887,30.0,19.0,22.0,15.0,13780.0
20.859538316726685,33.0,20.0,20.0,15.0,13880.0
21.89940333366394,32.0,20.0,21.0,15.0,13918.0
22.93875503540039,32.0,21.0,21.0,16.0,14050.0
23.97820544242859,32.0,21.0,21.0,17.0,14094.0
25.018136978149414,20.0,17.0,16.0,18.0,14288.0
26.069567680358887,25.0,18.0,21.0,15.0,14288.0
27.11046528816223,25.0,19.0,19.0,14.000000000000002,14288.0
28.15242338180542,27.0,20.0,20.0,15.0,14288.0
29.194048643112183,30.0,21.0,21.0,16.0,14288.0
30.235848903656006,32.0,22.0,22.0,16.0,14288.0
31.27692747116089,33.0,21.0,19.0,15.0,14288.0
32.318629026412964,31.0,20.0,19.0,16.0,14288.0
33.35933589935303,32.0,20.0,21.0,15.0,14288.0
34.398815870285034,33.0,21.0,21.0,16.0,14288.0
35.44030404090881,32.0,22.0,21.0,16.0,14288.0
36.48125600814819,35.0,18.0,18.0,15.0,14288.0
37.539191484451294,33.0,18.0,18.0,15.0,14444.0
38.5807569026947,35.0,23.0,19.0,17.0,14496.0
39.61896896362305,35.0,19.0,18.0,17.0,14720.0
